Id,Date,Total Steps,Total Sleep Minutes
4319703577,3/30/2016,9043,478
4319703577,3/31/2016,8144,47
4319703577,4/1/2016,9343,484
4319703577,4/2/2016,8405,543
4319703577,4/3/2016,8223,583
4319703577,4/4/2016,10067,505
4319703577,4/5/2016,8359,474
4319703577,4/6/2016,10946,504
4319703577,4/7/2016,9130,450
4319703577,4/8/2016,6544,0
4319703577,4/9/2016,0,0
4388161847,3/29/2016,0,0
4388161847,3/30/2016,0,0
4388161847,3/31/2016,0,0
4388161847,4/1/2016,0,0
4388161847,4/2/2016,0,0
4388161847,4/3/2016,0,0
4388161847,4/4/2016,0,0
4388161847,4/5/2016,0,0
4445114986,3/29/2016,2303,478
4445114986,3/30/2016,2600,0
4445114986,3/31/2016,4804,416
4445114986,4/1/2016,3271,337
4445114986,4/2/2016,5406,495
4445114986,4/3/2016,3146,0
4445114986,4/4/2016,2422,0
4445114986,4/5/2016,4239,496
4445114986,4/6/2016,6911,450
4445114986,4/7/2016,6667,268
4445114986,4/8/2016,5543,233
4445114986,4/9/2016,4195,443
4445114986,4/10/2016,6625,369
4445114986,4/11/2016,5986,428
4445114986,4/12/2016,278,332
4558609924,4/1/2016,5336,0
4558609924,4/2/2016,3183,87
4558609924,4/3/2016,6176,277
4558609924,4/4/2016,8205,0
4558609924,4/5/2016,6799,0
4558609924,4/6/2016,5668,0
4558609924,4/7/2016,7998,0
4558609924,4/8/2016,4195,0
4558609924,4/9/2016,5512,0
4558609924,4/10/2016,6263,0
4558609924,4/11/2016,8828,0
4558609924,4/12/2016,1260,0
4702921684,3/29/2016,6506,430
4702921684,3/30/2016,7583,455
4702921684,3/31/2016,6963,425
4702921684,4/1/2016,7165,475
4702921684,4/2/2016,10328,566
4702921684,4/3/2016,12116,586
4702921684,4/4/2016,7810,444
4702921684,4/5/2016,6670,440
4702921684,4/6/2016,7605,475
4702921684,4/7/2016,6585,460
4702921684,4/8/2016,8184,370
4702921684,4/9/2016,14002,588
4702921684,4/10/2016,11135,555
4702921684,4/11/2016,6499,334
4702921684,4/12/2016,0,0
5553957443,4/1/2016,12409,360
5553957443,4/2/2016,2937,903
5553957443,4/3/2016,1515,840
5553957443,4/4/2016,8921,453
5553957443,4/5/2016,11306,383
5553957443,4/6/2016,12252,405
5553957443,4/7/2016,15444,376
5553957443,4/8/2016,9938,417
5553957443,4/9/2016,4599,686
5553957443,4/10/2016,5594,709
5553957443,4/11/2016,11906,459
5553957443,4/12/2016,3436,364
5577150313,4/1/2016,10461,447
5577150313,4/2/2016,14873,385
5577150313,4/3/2016,9917,415
5577150313,4/4/2016,7401,458
5577150313,4/5/2016,8964,414
5577150313,4/6/2016,11080,420
5577150313,4/7/2016,4499,496
5577150313,4/8/2016,4363,461
5577150313,4/9/2016,10494,516
5577150313,4/10/2016,9776,442
5577150313,4/11/2016,2862,333
6117666160,4/1/2016,7444,586
6117666160,4/2/2016,19658,466
6117666160,4/3/2016,0,0
6117666160,4/4/2016,8468,0
6117666160,4/5/2016,9910,66
6117666160,4/6/2016,12409,561
6117666160,4/7/2016,4853,514
6117666160,4/8/2016,8955,0
6117666160,4/9/2016,10789,467
6117666160,4/10/2016,0,0
6290855005,4/1/2016,6633,0
6290855005,4/2/2016,9548,0
6290855005,4/3/2016,0,0
6290855005,4/4/2016,0,0
6290855005,4/5/2016,0,0
6290855005,4/6/2016,0,0
6290855005,4/7/2016,0,0
6290855005,4/8/2016,0,0
6290855005,4/9/2016,0,0
6290855005,4/10/2016,0,0
6391747486,4/1/2016,0,0
6391747486,4/2/2016,2101,0
6391747486,4/3/2016,0,0
6391747486,4/4/2016,0,0
6391747486,4/5/2016,9766,0
6391747486,4/6/2016,165,0
6391747486,4/7/2016,0,0
6391747486,4/8/2016,0,0
6391747486,4/9/2016,0,0
6775888955,4/1/2016,7225,13
6775888955,4/2/2016,1988,452
6775888955,4/3/2016,1577,0
6775888955,4/4/2016,0,0
6775888955,4/5/2016,9348,0
6775888955,4/6/2016,11761,467
6775888955,4/7/2016,13987,291
6775888955,4/8/2016,4131,0
6775888955,4/9/2016,14,0
6962181067,3/30/2016,15491,432
6962181067,3/31/2016,14097,529
6962181067,4/1/2016,10467,532
6962181067,4/2/2016,12437,415
6962181067,4/3/2016,12307,568
6962181067,4/4/2016,18952,399
6962181067,4/5/2016,12010,406
6962181067,4/6/2016,12480,502
6962181067,4/7/2016,13417,430
6962181067,4/8/2016,14400,403
6962181067,4/9/2016,12495,455
6962181067,4/10/2016,10148,429
6962181067,4/11/2016,12362,406
6962181067,4/12/2016,5893,387
7007744171,4/1/2016,11680,0
7007744171,4/2/2016,10976,69
7007744171,4/3/2016,16806,73
7007744171,4/4/2016,15266,0
7007744171,4/5/2016,12084,70
7007744171,4/6/2016,13513,0
7007744171,4/7/2016,14100,66
7007744171,4/8/2016,12627,0
7007744171,4/9/2016,10345,0
7007744171,4/10/2016,10146,0
7007744171,4/11/2016,12168,0
7007744171,4/12/2016,7413,0
7086361926,4/1/2016,11463,441
7086361926,4/2/2016,87,566
7086361926,4/3/2016,1949,0
7086361926,4/4/2016,6101,0
7086361926,4/5/2016,7478,91
7086361926,4/6/2016,7352,469
7086361926,4/7/2016,14604,512
7086361926,4/8/2016,9634,405
7086361926,4/9/2016,7338,487
7086361926,4/10/2016,569,45
7086361926,4/11/2016,6242,505
7086361926,4/12/2016,430,416
8053475328,4/2/2016,20188,0
8053475328,4/3/2016,25701,0
8053475328,4/4/2016,17395,0
8053475328,4/5/2016,17167,0
8053475328,4/6/2016,16435,0
8053475328,4/7/2016,17078,0
8053475328,4/8/2016,11693,0
8053475328,4/9/2016,11159,0
8053475328,4/10/2016,10118,0
8053475328,4/11/2016,16064,0
8053475328,4/12/2016,290,0
8253242879,4/1/2016,0,0
8253242879,4/2/2016,0,0
8253242879,4/3/2016,0,0
8253242879,4/4/2016,0,0
8253242879,4/5/2016,0,0
8253242879,4/6/2016,1931,0
8253242879,4/7/2016,5181,0
8253242879,4/8/2016,12026,0
8253242879,4/9/2016,5360,0
8253242879,4/10/2016,2545,0
8253242879,4/11/2016,1636,0
8253242879,4/12/2016,0,0
8378563200,4/1/2016,14179,432
8378563200,4/2/2016,3358,639
8378563200,4/3/2016,9152,558
8378563200,4/4/2016,13935,441
8378563200,4/5/2016,12846,437
8378563200,4/6/2016,9124,421
8378563200,4/7/2016,9725,495
8378563200,4/8/2016,8350,323
8378563200,4/9/2016,2240,487
8378563200,4/10/2016,2631,596
8378563200,4/11/2016,8837,356
8378563200,4/12/2016,3246,255
8583815059,4/1/2016,2174,0
8583815059,4/2/2016,3494,0
8583815059,4/3/2016,2380,0
8583815059,4/4/2016,3159,0
8583815059,4/5/2016,6835,0
8583815059,4/6/2016,2098,0
8583815059,4/7/2016,2816,0
8583815059,4/8/2016,1408,0
8792009665,4/1/2016,4592,504
8792009665,4/2/2016,8452,0
8792009665,4/3/2016,7238,517
8792009665,4/4/2016,3821,595
8792009665,4/5/2016,2332,414
8792009665,4/6/2016,2121,463
8792009665,4/7/2016,1291,475
8792009665,4/8/2016,1467,447
8792009665,4/9/2016,1022,638
8792009665,4/10/2016,4605,0
8792009665,4/11/2016,178,0
8792009665,4/12/2016,20,0
8877689391,4/1/2016,18700,0
8877689391,4/2/2016,27572,0
8877689391,4/3/2016,15260,0
8877689391,4/4/2016,20779,0
8877689391,4/5/2016,10695,0
8877689391,4/6/2016,24136,0
8877689391,4/7/2016,10910,0
8877689391,4/8/2016,23014,0
8877689391,4/9/2016,16470,0
8877689391,4/10/2016,28497,0
8877689391,4/11/2016,10622,0
8877689391,4/12/2016,2350,0
